Nombre,Categoría,Combate,Coste,Daño,Distancia,Espacios,Munición,Propiedades,Técnicas,Versatil
Kusari-gama,Marcial,Cuerpo a cuerpo,15 po,2d4 cortante,,2,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Imprudente (Armer%C3%ADa/Propiedades/Imprudente%203dd82858a77580e7be44fe127a11fd23.md), Alcance (Armer%C3%ADa/Propiedades/Alcance%203dc82858a77580c09cfde52fe6204fe4.md), A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md)",Enredo (Armer%C3%ADa/T%C3%A9cnicas/Enredo%203dd82858a77580c6b82fca47229fd610.md),
Lanza de caballería,Marcial,Cuerpo a cuerpo,10 po,1d12 perforante,,2,,"Alcance (Armer%C3%ADa/Propiedades/Alcance%203dc82858a77580c09cfde52fe6204fe4.md), Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md)",Línea Inquebrantable (Armer%C3%ADa/T%C3%A9cnicas/L%C3%ADnea%20Inquebrantable%203dd82858a77580d8b78bf1eef0ede814.md),
Espada larga,Marcial,Cuerpo a cuerpo,15 po,1d8 cortante,,2,,Versátil (Armer%C3%ADa/Propiedades/Vers%C3%A1til%203db82858a775806796dbdfd8ffd6265b.md),Cambio de Guardia (Armer%C3%ADa/T%C3%A9cnicas/Cambio%20de%20Guardia%203dd82858a77580e6a912cc8f1b6fc165.md),1d10
Macuahuitl,Marcial,Cuerpo a cuerpo,25 po,1d8 cortante,,2,,Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md),Finta (Armer%C3%ADa/T%C3%A9cnicas/Finta%203dd82858a77580edbe68f37c108f7220.md),
Almádena,Marcial,Cuerpo a cuerpo,10 po,2d6 contundente,,3,,"A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md), Pesada (Armer%C3%ADa/Propiedades/Pesada%203db82858a775800fa41aeb3b0e26db52.md)",Impulso Bestial (Armer%C3%ADa/T%C3%A9cnicas/Impulso%20Bestial%203dd82858a7758077a709dca138ef25b0.md),
Mazo meteórico,Marcial,Cuerpo a cuerpo,40 po,2d6 contundente,,2,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Alcance (Armer%C3%ADa/Propiedades/Alcance%203dc82858a77580c09cfde52fe6204fe4.md), A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md), Imprudente (Armer%C3%ADa/Propiedades/Imprudente%203dd82858a77580e7be44fe127a11fd23.md)",Enredo (Armer%C3%ADa/T%C3%A9cnicas/Enredo%203dd82858a77580c6b82fca47229fd610.md),
Lucero del alba,Marcial,Cuerpo a cuerpo,15 po,1d8 perforante,,2,,Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md),Golpe de Castigo (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20de%20Castigo%203dd82858a77580ffbf81dbe6526a116b.md),
Nunchakus,Marcial,Cuerpo a cuerpo,10 po,2d4 contundente,,1,,Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md),Golpe de Castigo (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20de%20Castigo%203dd82858a77580ffbf81dbe6526a116b.md),
Garrote (alambre),Marcial,Cuerpo a cuerpo,3 po,1d4 cortante,,1,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md)",Filo Escondido (Armer%C3%ADa/T%C3%A9cnicas/Filo%20Escondido%203dd82858a775803dbf58e34468f384fb.md),
Pica,Marcial,Cuerpo a cuerpo,5 po,1d10 perforante,,3,,"A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md), Alcance (Armer%C3%ADa/Propiedades/Alcance%203dc82858a77580c09cfde52fe6204fe4.md), Pesada (Armer%C3%ADa/Propiedades/Pesada%203db82858a775800fa41aeb3b0e26db52.md), Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md)",Línea Inquebrantable (Armer%C3%ADa/T%C3%A9cnicas/L%C3%ADnea%20Inquebrantable%203dd82858a77580d8b78bf1eef0ede814.md),
Estoque,Marcial,Cuerpo a cuerpo,25 po,1d8 perforante,,1,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md)",Finta (Armer%C3%ADa/T%C3%A9cnicas/Finta%203dd82858a77580edbe68f37c108f7220.md),
Cimitarra,Marcial,Cuerpo a cuerpo,25 po,1d6 cortante,,2,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md), Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md)",Finta (Armer%C3%ADa/T%C3%A9cnicas/Finta%203dd82858a77580edbe68f37c108f7220.md),
Espada corta,Marcial,Cuerpo a cuerpo,10 po,1d6 perforante,,1,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md)",Finta (Armer%C3%ADa/T%C3%A9cnicas/Finta%203dd82858a77580edbe68f37c108f7220.md),
Urumi,Marcial,Cuerpo a cuerpo,15 po,3d4 cortante,,1,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Alcance (Armer%C3%ADa/Propiedades/Alcance%203dc82858a77580c09cfde52fe6204fe4.md), Torpe (Armer%C3%ADa/Propiedades/Torpe%203dc82858a77580c9bfa2d27f15d1a50a.md)",Enredo (Armer%C3%ADa/T%C3%A9cnicas/Enredo%203dd82858a77580c6b82fca47229fd610.md),
Pico de guerra,Marcial,Cuerpo a cuerpo,5 po,1d8 perforante,,1,,Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md),Golpe de Castigo (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20de%20Castigo%203dd82858a77580ffbf81dbe6526a116b.md),
Martillo de guerra,Marcial,Cuerpo a cuerpo,15 po,1d8 contundente,,1,,"Versátil (Armer%C3%ADa/Propiedades/Vers%C3%A1til%203db82858a775806796dbdfd8ffd6265b.md), Brutal (Armer%C3%ADa/Propiedades/Brutal%203dd82858a7758052bc85d2736a047b2a.md)",Golpe de Castigo (Armer%C3%ADa/T%C3%A9cnicas/Golpe%20de%20Castigo%203dd82858a77580ffbf81dbe6526a116b.md),1d10
Látigo,Marcial,Cuerpo a cuerpo,2 po,1d4 cortante,,2,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Alcance (Armer%C3%ADa/Propiedades/Alcance%203dc82858a77580c09cfde52fe6204fe4.md)",Enredo (Armer%C3%ADa/T%C3%A9cnicas/Enredo%203dd82858a77580c6b82fca47229fd610.md),
Yo-yo,Marcial,Cuerpo a cuerpo,15 po,1d6 cortante,,1,,"Ligera (Armer%C3%ADa/Propiedades/Ligera%203db82858a775805b9ed3de51f3c9653d.md), Alcance (Armer%C3%ADa/Propiedades/Alcance%203dc82858a77580c09cfde52fe6204fe4.md)",Enredo (Armer%C3%ADa/T%C3%A9cnicas/Enredo%203dd82858a77580c6b82fca47229fd610.md),
Mandoble a dos manos,Marcial,Cuerpo a cuerpo,80 po,2d8 cortantante,,3,,"A dos manos (Armer%C3%ADa/Propiedades/A%20dos%20manos%203db82858a77580238bcfd876c5001153.md), Pesada (Armer%C3%ADa/Propiedades/Pesada%203db82858a775800fa41aeb3b0e26db52.md), Torpe (Armer%C3%ADa/Propiedades/Torpe%203dc82858a77580c9bfa2d27f15d1a50a.md)",Impulso Bestial (Armer%C3%ADa/T%C3%A9cnicas/Impulso%20Bestial%203dd82858a7758077a709dca138ef25b0.md),
Bola,Marcial,A distancia,1 po,1d4 contundente,4/8,1,,Lanzable (Armer%C3%ADa/Propiedades/Lanzable%203db82858a775803bb402d887762ba11a.md),Rebote Calculado (Armer%C3%ADa/T%C3%A9cnicas/Rebote%20Calculado%203df82858a7758043b37adb3f94b2250a.md),
Bumerán,Marcial,A distancia,3 po,1d6 contundente,6/16,1,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Lanzable (Armer%C3%ADa/Propiedades/Lanzable%203db82858a775803bb402d887762ba11a.md)",Rebote Calculado (Armer%C3%ADa/T%C3%A9cnicas/Rebote%20Calculado%203df82858a7758043b37adb3f94b2250a.md),
Chakram,Marcial,A distancia,1 po,1d8 cortante,6/14,1,,"Precisa (Armer%C3%ADa/Propiedades/Precisa%203db82858a775801c9e52c076800d2956.md), Lanzable (Armer%C3%ADa/Propiedades/Lanzable%203db82858a775803bb402d887762ba11a.md)",Rebote Calculado (Armer%C3%ADa/T%C3%A9cnicas/Rebote%20Calculado%203df82858a7758043b37adb3f94b2250a.md),
