Nombre,Categoría,Combate,Crítico,Daño,Distancia,Munición,Precio,"Propiedades ",Recarga,Versátil,Volumen,Árbol relacionado
Guadaña,Simple,Cuerpo a cuerpo,,2d4 cortante,,,8 po,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Torpe (Armas/Propiedades%20de%20armas/Torpe%2025082858a77580dcb6c9f49c03f63be0.md)",,,3,"Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Agarre (https://app.notion.com/p/Agarre-33b82858a77580589f8bfb255cd6e91d?pvs=21), Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)"
"Hoz ",Simple,Cuerpo a cuerpo,,1d6 cortante,,,1 po,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md)",,,1,"Agarre (https://app.notion.com/p/Agarre-33b82858a77580589f8bfb255cd6e91d?pvs=21), Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)"
Lanza,Simple,Cuerpo a cuerpo,,1d6 perforante,4/12 casillas,,1 po,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md)",,1d8,3,"Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21), Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21)"
Tridente,Simple,Cuerpo a cuerpo,,1d6 perforante,4/12 casillas,,5 po,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Defensiva (Armas/Propiedades%20de%20armas/Defensiva%2025082858a77580b49c4ddfdd67b699ae.md), Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md)",,1d8,2,"Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21), Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21), Escudo y La Lanza (https://app.notion.com/p/Escudo-y-La-Lanza-33b82858a77580e2a5b3dbbf3bad4d4e?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21), Pesca (https://app.notion.com/p/Pesca-33b82858a77580ad9467c92b7a88c6b7?pvs=21)"
Cerbatana,Simple,Distancia,,1 perforante,6/20 casillas,"Aguja de cerbatana (https://app.notion.com/p/Aguja-de-cerbatana-15882858a775801493bec400eeb39b5b?pvs=21) ",10 po,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Carga (Armas/Propiedades%20de%20armas/Carga%2025082858a77580249542d35dc7f9115e.md), Sutil (Armas/Propiedades%20de%20armas/Sutil%2025082858a77580fc9987c0237bc07b97.md), Especial (Armas/Propiedades%20de%20armas/Especial%2025082858a77580bc924ee31dcf91d586.md)",,,1,"Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21), Pesca (https://app.notion.com/p/Pesca-33b82858a77580ad9467c92b7a88c6b7?pvs=21)"
Ballesta ligera,Simple,Distancia,,1d8 perforante,16/64 casillas,"Virotes (https://app.notion.com/p/Virotes-5bcfd52ed0454001a94acf489f52ac95?pvs=21) ",25 po,"Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Carga (Armas/Propiedades%20de%20armas/Carga%2025082858a77580249542d35dc7f9115e.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",,,2,Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21)
Dardo,Simple,Distancia,,1d4 perforante,4/12 casillas,,5 pc,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Sutil (Armas/Propiedades%20de%20armas/Sutil%2025082858a77580fc9987c0237bc07b97.md)",,,"0,2","Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21)"
Gancho de Agarre,Simple,Distancia,,-,3/6 casillas,,2 po,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",,,2,"Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21), Agarre (https://app.notion.com/p/Agarre-33b82858a77580589f8bfb255cd6e91d?pvs=21), Pesca (https://app.notion.com/p/Pesca-33b82858a77580ad9467c92b7a88c6b7?pvs=21)"
Arpón,Simple,Distancia,,1d6 perforante,4/12 casillas,,5 po,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Perfora armadura (Armas/Propiedades%20de%20armas/Perfora%20armadura%2025082858a77580e1bfd6caad7084c8a0.md)",,,2,"Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21), Pesca (https://app.notion.com/p/Pesca-33b82858a77580ad9467c92b7a88c6b7?pvs=21)"
Red,Simple,Distancia,,-,1/3 casillas,,1 po,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Especial (Armas/Propiedades%20de%20armas/Especial%2025082858a77580bc924ee31dcf91d586.md)",,,2,"Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21), Pesca (https://app.notion.com/p/Pesca-33b82858a77580ad9467c92b7a88c6b7?pvs=21)"
Arco corto,Simple,Distancia,,1d6 perforante,16/64 casillas,"Flecha (https://app.notion.com/p/Flecha-de1a8552575c4d8cbb7dbf173b0cb734?pvs=21) ",25 po,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",,,3,Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21)
Honda,Simple,Distancia,,1d4 contundente,6/24 casillas,"Bala de honda (https://app.notion.com/p/Bala-de-honda-15882858a775803e8c37e43ed1dd8318?pvs=21) ",1 pp,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md)",,,"0,2","Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21), Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)"
Espada bastarda,Marcial,Cuerpo a cuerpo,,1d10 cortante,,,40 po,Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md),,2d6,3,Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21)
Hacha de batalla,Marcial,Cuerpo a cuerpo,,1d8 cortante,,,10 po,Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md),,1d10,2,Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21)
Porra,Marcial,Cuerpo a cuerpo,,1d6 contundente,,,5 po,"Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Defensiva (Armas/Propiedades%20de%20armas/Defensiva%2025082858a77580b49c4ddfdd67b699ae.md), Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md)",,,2,"Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21), Escudo y La Lanza (https://app.notion.com/p/Escudo-y-La-Lanza-33b82858a77580e2a5b3dbbf3bad4d4e?pvs=21)"
Abanico de batalla,Marcial,Cuerpo a cuerpo,,1d4 cortante,,,5 po,"Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Oculta (Armas/Propiedades%20de%20armas/Oculta%2025082858a775804bba22d47c24ad58ea.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",,,1,"Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21)"
Bastón espada,Marcial,Cuerpo a cuerpo,,1d8 cortante,,,25 po,"Oculta (Armas/Propiedades%20de%20armas/Oculta%2025082858a775804bba22d47c24ad58ea.md), Especial (Armas/Propiedades%20de%20armas/Especial%2025082858a77580bc924ee31dcf91d586.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",,,2,"Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21)"
Cadena,Marcial,Cuerpo a cuerpo,,2d4 contundente,,,20 po,"Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Torpe (Armas/Propiedades%20de%20armas/Torpe%2025082858a77580dcb6c9f49c03f63be0.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md)",,,3,"Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Cadena espinada,Marcial,Cuerpo a cuerpo,,2d4 perforante,,,25 po,"Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Torpe (Armas/Propiedades%20de%20armas/Torpe%2025082858a77580dcb6c9f49c03f63be0.md), Desgarradora (Armas/Propiedades%20de%20armas/Desgarradora%2025082858a775805180ebc66dcabf79cb.md)",,,3,"Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Mayal,Marcial,Cuerpo a cuerpo,,1d8 contundente,,,10 po,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md)",,,2,"Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21)"
Guja,Marcial,Cuerpo a cuerpo,19,1d10 cortante,,,10 po,"Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Crítico (Armas/Propiedades%20de%20armas/Cr%C3%ADtico%2025182858a77580f58f15cc0dd680d246.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md)",,,3,"Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Hacha grande,Marcial,Cuerpo a cuerpo,,1d12 cortante,,,30 po,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",,,3,Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21)
Alabarda,Marcial,Cuerpo a cuerpo,,1d10 cortante,,,20 po,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",,,3,"Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Katana,Marcial,Cuerpo a cuerpo,19,1d8 cortante,,,40 po,"Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Crítico (Armas/Propiedades%20de%20armas/Cr%C3%ADtico%2025182858a77580f58f15cc0dd680d246.md)",,1d10,2,Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21)
Khopesh,Marcial,Cuerpo a cuerpo,,1d8 cortante,,,10 po,Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md),,,2,Agarre (https://app.notion.com/p/Agarre-33b82858a77580589f8bfb255cd6e91d?pvs=21)
Kpinga,Marcial,Cuerpo a cuerpo,,1d6 cortante,,,25 po,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Defensiva (Armas/Propiedades%20de%20armas/Defensiva%2025082858a77580b49c4ddfdd67b699ae.md)",,,2,Escudo y La Lanza (https://app.notion.com/p/Escudo-y-La-Lanza-33b82858a77580e2a5b3dbbf3bad4d4e?pvs=21)
Kusari-Gama,Marcial,Cuerpo a cuerpo,,2d4 cortante,,,15 po,"Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",,,2,"Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Agarre (https://app.notion.com/p/Agarre-33b82858a77580589f8bfb255cd6e91d?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Lanza de caballería,Marcial,Cuerpo a cuerpo,,1d12 perforante,,,10 po,"Perfora armadura (Armas/Propiedades%20de%20armas/Perfora%20armadura%2025082858a77580e1bfd6caad7084c8a0.md), Defensiva (Armas/Propiedades%20de%20armas/Defensiva%2025082858a77580b49c4ddfdd67b699ae.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Torpe (Armas/Propiedades%20de%20armas/Torpe%2025082858a77580dcb6c9f49c03f63be0.md), Especial (Armas/Propiedades%20de%20armas/Especial%2025082858a77580bc924ee31dcf91d586.md)",,,3,"Escudo y La Lanza (https://app.notion.com/p/Escudo-y-La-Lanza-33b82858a77580e2a5b3dbbf3bad4d4e?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21)"
Espada Larga,Marcial,Cuerpo a cuerpo,,1d8 cortante,,,15 po,Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md),,1d10,2,Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21)
Macuahuitl,Marcial,Cuerpo a cuerpo,,1d8 cortante,,,25 po,"Desgarradora (Armas/Propiedades%20de%20armas/Desgarradora%2025082858a775805180ebc66dcabf79cb.md), Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md)",,,2,Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21)
Mandoble,Marcial,Cuerpo a cuerpo,,2d6 contundente,,,10 po,"Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",,,3,Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21)
Martillo meteoro,Marcial,Cuerpo a cuerpo,,2d6 contundente,,,40 po,"Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Torpe (Armas/Propiedades%20de%20armas/Torpe%2025082858a77580dcb6c9f49c03f63be0.md)",,,2,"Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Lucero del alba,Marcial,Cuerpo a cuerpo,,1d8 perfonante,,,15 po,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md)",,,2,Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21)
Nunchakus,Marcial,Cuerpo a cuerpo,,2d4 contundente,,,10 po,"Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",,,1,Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21)
Garrote,Marcial,Cuerpo a cuerpo,,1d4 cortante,,,3 po,"Sutil (Armas/Propiedades%20de%20armas/Sutil%2025082858a77580fc9987c0237bc07b97.md), Oculta (Armas/Propiedades%20de%20armas/Oculta%2025082858a775804bba22d47c24ad58ea.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",,,1,"Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21), Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21), Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)"
