Nombre,Categoría,Combate,"Propiedades ",Árbol relacionado
Bastón espada,Marcial,Cuerpo a cuerpo,"Oculta (Armas/Propiedades%20de%20armas/Oculta%2025082858a775804bba22d47c24ad58ea.md), Especial (Armas/Propiedades%20de%20armas/Especial%2025082858a77580bc924ee31dcf91d586.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)","Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21)"
Boleadoras,Marcial,Distancia,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md)","Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21)"
Bumerang,Marcial,Cuerpo a cuerpo,"Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Retorno (Armas/Propiedades%20de%20armas/Retorno%2025182858a7758077b625f0e016c76fca.md)",Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21)
Cadena,Marcial,Cuerpo a cuerpo,"Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Torpe (Armas/Propiedades%20de%20armas/Torpe%2025082858a77580dcb6c9f49c03f63be0.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md)","Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Cadena espinada,Marcial,Cuerpo a cuerpo,"Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Torpe (Armas/Propiedades%20de%20armas/Torpe%2025082858a77580dcb6c9f49c03f63be0.md), Desgarradora (Armas/Propiedades%20de%20armas/Desgarradora%2025082858a775805180ebc66dcabf79cb.md)","Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Cerbatana,Simple,Distancia,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Carga (Armas/Propiedades%20de%20armas/Carga%2025082858a77580249542d35dc7f9115e.md), Sutil (Armas/Propiedades%20de%20armas/Sutil%2025082858a77580fc9987c0237bc07b97.md), Especial (Armas/Propiedades%20de%20armas/Especial%2025082858a77580bc924ee31dcf91d586.md)","Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21), Pesca (https://app.notion.com/p/Pesca-33b82858a77580ad9467c92b7a88c6b7?pvs=21)"
Chakram,Marcial,Distancia,"Retorno (Armas/Propiedades%20de%20armas/Retorno%2025182858a7758077b625f0e016c76fca.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21)
Cimitarra,Marcial,Cuerpo a cuerpo,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)",Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21)
Cuchara gigante,Simple,Cuerpo a cuerpo,"Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md), Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md)","Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21), Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)"
Daga,Simple,Cuerpo a cuerpo,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Sutil (Armas/Propiedades%20de%20armas/Sutil%2025082858a77580fc9987c0237bc07b97.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)","Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21)"
Daga de puño,Simple,Cuerpo a cuerpo,"Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Segura (Armas/Propiedades%20de%20armas/Segura%2025082858a775806e822ef8d376199ea1.md)",Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21)
Dardo,Simple,Distancia,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Sutil (Armas/Propiedades%20de%20armas/Sutil%2025082858a77580fc9987c0237bc07b97.md)","Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21)"
Espada bastarda,Marcial,Cuerpo a cuerpo,Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md),Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21)
Espada corta,Marcial,Cuerpo a cuerpo,"Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md)","Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21)"
Espada Larga,Marcial,Cuerpo a cuerpo,Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md),Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21)
Estoque,Marcial,Cuerpo a cuerpo,"Crítico (Armas/Propiedades%20de%20armas/Cr%C3%ADtico%2025182858a77580f58f15cc0dd680d246.md), Defensiva (Armas/Propiedades%20de%20armas/Defensiva%2025082858a77580b49c4ddfdd67b699ae.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)","Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21), Escudo y La Lanza (https://app.notion.com/p/Escudo-y-La-Lanza-33b82858a77580e2a5b3dbbf3bad4d4e?pvs=21)"
Estrella arrojadiza,Marcial,Distancia,"Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Sutil (Armas/Propiedades%20de%20armas/Sutil%2025082858a77580fc9987c0237bc07b97.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)","Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21)"
Gancho de Agarre,Simple,Distancia,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)","Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21), Agarre (https://app.notion.com/p/Agarre-33b82858a77580589f8bfb255cd6e91d?pvs=21), Pesca (https://app.notion.com/p/Pesca-33b82858a77580ad9467c92b7a88c6b7?pvs=21)"
Garras de lucha,Simple,Cuerpo a cuerpo,"Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Segura (Armas/Propiedades%20de%20armas/Segura%2025082858a775806e822ef8d376199ea1.md), Desgarradora (Armas/Propiedades%20de%20armas/Desgarradora%2025082858a775805180ebc66dcabf79cb.md)",Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21)
Garrote,Marcial,Cuerpo a cuerpo,"Sutil (Armas/Propiedades%20de%20armas/Sutil%2025082858a77580fc9987c0237bc07b97.md), Oculta (Armas/Propiedades%20de%20armas/Oculta%2025082858a775804bba22d47c24ad58ea.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)","Hoja Ligera (https://app.notion.com/p/Hoja-Ligera-33b82858a775804292d6c8f12928573e?pvs=21), Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Sombra (https://app.notion.com/p/Sombra-33b82858a77580d2a869f97686e841e5?pvs=21), Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)"
Garrote,Simple,Cuerpo a cuerpo,"Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md), Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md)",Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21)
Garrote grande,Simple,Cuerpo a cuerpo,"Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)
Guadaña,Simple,Cuerpo a cuerpo,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Torpe (Armas/Propiedades%20de%20armas/Torpe%2025082858a77580dcb6c9f49c03f63be0.md)","Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Agarre (https://app.notion.com/p/Agarre-33b82858a77580589f8bfb255cd6e91d?pvs=21), Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)"
Guja,Marcial,Cuerpo a cuerpo,"Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Crítico (Armas/Propiedades%20de%20armas/Cr%C3%ADtico%2025182858a77580f58f15cc0dd680d246.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md)","Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21), Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Hacha de batalla,Marcial,Cuerpo a cuerpo,Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md),Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21)
Hacha de mano,Simple,Cuerpo a cuerpo,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md)",Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21)
Hacha grande,Marcial,Cuerpo a cuerpo,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21)
Honda,Simple,Distancia,"Munición (Armas/Propiedades%20de%20armas/Munici%C3%B3n%2025082858a77580d482e1c0484c88b943.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md)","Proyectil (https://app.notion.com/p/Proyectil-33b82858a77580cf8e1ee7e806c1735a?pvs=21), Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)"
"Hoz ",Simple,Cuerpo a cuerpo,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md)","Agarre (https://app.notion.com/p/Agarre-33b82858a77580589f8bfb255cd6e91d?pvs=21), Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)"
Jabalina,Simple,Cuerpo a cuerpo,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md)","Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21), Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)"
Katana,Marcial,Cuerpo a cuerpo,"Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Crítico (Armas/Propiedades%20de%20armas/Cr%C3%ADtico%2025182858a77580f58f15cc0dd680d246.md)",Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21)
Khopesh,Marcial,Cuerpo a cuerpo,Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md),Agarre (https://app.notion.com/p/Agarre-33b82858a77580589f8bfb255cd6e91d?pvs=21)
Kpinga,Marcial,Cuerpo a cuerpo,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Defensiva (Armas/Propiedades%20de%20armas/Defensiva%2025082858a77580b49c4ddfdd67b699ae.md)",Escudo y La Lanza (https://app.notion.com/p/Escudo-y-La-Lanza-33b82858a77580e2a5b3dbbf3bad4d4e?pvs=21)
Kusari-Gama,Marcial,Cuerpo a cuerpo,"Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Imprudente (Armas/Propiedades%20de%20armas/Imprudente%2025182858a77580e98582c4326b37bb57.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md)","Brazo Largo (https://app.notion.com/p/Brazo-Largo-33b82858a77580dea174c788fffa838b?pvs=21), Agarre (https://app.notion.com/p/Agarre-33b82858a77580589f8bfb255cd6e91d?pvs=21), Asta (https://app.notion.com/p/Asta-33b82858a77580ff926efcf4c9e76038?pvs=21)"
Lanza,Simple,Cuerpo a cuerpo,"Arrojadiza (Armas/Propiedades%20de%20armas/Arrojadiza%2025082858a77580d98ad5c7843915cd99.md), Distancia (Armas/Propiedades%20de%20armas/Distancia%2025082858a77580268fdec333af7faf44.md), Versátil (Armas/Propiedades%20de%20armas/Vers%C3%A1til%2025082858a77580de9c8bdf719830a1ff.md)","Acero Versátil (https://app.notion.com/p/Acero-Vers-til-33b82858a775807e8aaaf0c37e5d4892?pvs=21), Lanzador Certero (https://app.notion.com/p/Lanzador-Certero-33b82858a7758075bd4dcebf68f06cc4?pvs=21)"
Lanza de caballería,Marcial,Cuerpo a cuerpo,"Perfora armadura (Armas/Propiedades%20de%20armas/Perfora%20armadura%2025082858a77580e1bfd6caad7084c8a0.md), Defensiva (Armas/Propiedades%20de%20armas/Defensiva%2025082858a77580b49c4ddfdd67b699ae.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md), Torpe (Armas/Propiedades%20de%20armas/Torpe%2025082858a77580dcb6c9f49c03f63be0.md), Especial (Armas/Propiedades%20de%20armas/Especial%2025082858a77580bc924ee31dcf91d586.md)","Escudo y La Lanza (https://app.notion.com/p/Escudo-y-La-Lanza-33b82858a77580e2a5b3dbbf3bad4d4e?pvs=21), Gladiador (https://app.notion.com/p/Gladiador-33b82858a77580f1a9f8f933524df41e?pvs=21)"
Látigo,Marcial,Cuerpo a cuerpo,"Elegante (Armas/Propiedades%20de%20armas/Elegante%2025082858a775809e8872d6d59eaf3399.md), Alcance (Armas/Propiedades%20de%20armas/Alcance%2025182858a775805a86bde7886e849d95.md), Ligera (Armas/Propiedades%20de%20armas/Ligera%2025082858a7758039b07bc04322c4e6f2.md)",Agarre (https://app.notion.com/p/Agarre-33b82858a77580589f8bfb255cd6e91d?pvs=21)
Lucero del alba,Marcial,Cuerpo a cuerpo,"Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md), Robusta (Armas/Propiedades%20de%20armas/Robusta%2025082858a77580a6b9d2fa24668e9a82.md)",Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21)
Machete,Simple,Cuerpo a cuerpo,Especial (Armas/Propiedades%20de%20armas/Especial%2025082858a77580bc924ee31dcf91d586.md),Granja (https://app.notion.com/p/Granja-33b82858a77580a899f0de2e198214da?pvs=21)
Macuahuitl,Marcial,Cuerpo a cuerpo,"Desgarradora (Armas/Propiedades%20de%20armas/Desgarradora%2025082858a775805180ebc66dcabf79cb.md), Brutal (Armas/Propiedades%20de%20armas/Brutal%2025082858a77580bba5edeef33833bd04.md)",Aplastador (https://app.notion.com/p/Aplastador-33b82858a775800d8693f25f886f1bd9?pvs=21)
Mandoble,Marcial,Cuerpo a cuerpo,"Pesada (Armas/Propiedades%20de%20armas/Pesada%2025182858a77580c3a847fa6160b25872.md), Dos manos (Armas/Propiedades%20de%20armas/Dos%20manos%2025082858a7758093ab38e438387bcd55.md)",Gran Destructor (https://app.notion.com/p/Gran-Destructor-33b82858a77580d7bfc8d5215e258530?pvs=21)
