Nombre,Competencia con habilidades,Dotes,Habilidades,Herramientas
Marinero,"Acrobacias (https://www.notion.so/Acrobacias-14882858a77580bf8f11ee2deceaef34?pvs=21), Percepción (https://www.notion.so/Percepci-n-14882858a77580dfa2f3f3109c37ce89?pvs=21)",Peleador de Taberna (https://www.notion.so/Peleador-de-Taberna-35f82858a77580659b0bfc9aca740dc3?pvs=21),"DES, FUE, SAB",Herramientas de navegante (https://www.notion.so/Herramientas-de-navegante-15482858a77580249991e3f1de31e5c4?pvs=21)
Corsario,"Acrobacias (https://www.notion.so/Acrobacias-14882858a77580bf8f11ee2deceaef34?pvs=21), Intimidar (https://www.notion.so/Intimidar-14882858a77580f4a40dcd9281240c93?pvs=21)",Atacante Técnico (https://www.notion.so/Atacante-T-cnico-35f82858a77580dea9cafcac906ce38e?pvs=21),"CAR, CON, DES",Herramientas de navegante (https://www.notion.so/Herramientas-de-navegante-15482858a77580249991e3f1de31e5c4?pvs=21)
Estibador,"Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Investigar (https://www.notion.so/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21)",Artesano (https://www.notion.so/Artesano-36082858a7758086b9afc5ce5edc89a2?pvs=21),"CON, FUE, INT",Herramientas de carpintero (https://www.notion.so/Herramientas-de-carpintero-15582858a77580ff94fbed3aba9f5017?pvs=21)
Pescador,"Resistencia (https://www.notion.so/Resistencia-14882858a775804dacebe7c832ce77e6?pvs=21), Supervivencia (https://www.notion.so/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21)",Frugal (https://www.notion.so/Frugal-36282858a7758010a83dfdaf13f667e5?pvs=21),"CON, DES, SAB",Aparejos de pesca (https://www.notion.so/Aparejos-de-pesca-27782858a775801bb8e3c4802d645f5a?pvs=21)
Apotecario,"Medicina (https://www.notion.so/Medicina-14882858a77580389451fde3f5196b64?pvs=21), Naturaleza (https://www.notion.so/Naturaleza-14882858a77580ca837bd949e0d5714e?pvs=21)",Artesano (https://www.notion.so/Artesano-36082858a7758086b9afc5ce5edc89a2?pvs=21),"CON, INT, SAB",Kit de herborista (https://www.notion.so/Kit-de-herborista-14e82858a77580eab934c94a0e289ee8?pvs=21)
Minero,"Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Naturaleza (https://www.notion.so/Naturaleza-14882858a77580ca837bd949e0d5714e?pvs=21)",Atacante Salvaje (https://www.notion.so/Atacante-Salvaje-36382858a77580f69713dce4992cb568?pvs=21),"CON, FUE, SAB",Herramientas de cantero (https://www.notion.so/Herramientas-de-cantero-15682858a77580168bc4e842ba02e974?pvs=21)
Granjero,"Domesticar (https://www.notion.so/Domesticar-14882858a77580f4b92ef9c92a64afcc?pvs=21), Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21)",Duro (https://www.notion.so/Duro-36382858a77580e78a0bc611ca259a15?pvs=21),"CON, FUE, SAB",Utensilios de cocina (https://www.notion.so/Utensilios-de-cocina-15582858a775809aa6c9fe26b481f7f7?pvs=21)
Trampero,"Sigilo (https://www.notion.so/Sigilo-14882858a7758044bb29f9a88bee0bf0?pvs=21), Supervivencia (https://www.notion.so/Supervivencia-14882858a7758017b31fe00d5bcc29b9?pvs=21)",Superviviente (https://www.notion.so/Superviviente-36282858a77580918bdeebd70cd48ca7?pvs=21),"DES, INT, SAB",Herramientas de trampero (https://www.notion.so/Herramientas-de-trampero-26382858a77580388215ff6fc52351b5?pvs=21)
Charlatán,"Engaño (https://www.notion.so/Enga-o-14882858a77580a7813bd5d585d2ce7f?pvs=21), Finura (https://www.notion.so/Finura-14882858a77580a18b73f43a730673f0?pvs=21)",Actor (https://www.notion.so/Actor-36382858a77580469186d57a2a0725c0?pvs=21),"CAR, DES, INT",Kit de falsificación (https://www.notion.so/Kit-de-falsificaci-n-15682858a775804a863ddc75fedef644?pvs=21)
Contrabandista,"Atletismo (https://www.notion.so/Atletismo-14882858a7758017adbeca10ada6a343?pvs=21), Sigilo (https://www.notion.so/Sigilo-14882858a7758044bb29f9a88bee0bf0?pvs=21)",Superviviente (https://www.notion.so/Superviviente-36282858a77580918bdeebd70cd48ca7?pvs=21),"CAR, DES, FUE",Kit de disfraz (https://www.notion.so/Kit-de-disfraz-15682858a77580d89c38dfd90c9e4fbe?pvs=21)
Perista,"Investigar (https://www.notion.so/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21), Perspicacia (https://www.notion.so/Perspicacia-14882858a775805b9920dfcda074c33f?pvs=21)",Artesano (https://www.notion.so/Artesano-36082858a7758086b9afc5ce5edc89a2?pvs=21),"CAR, DES, INT",Suministros de joyero (https://www.notion.so/Suministros-de-joyero-15582858a7758098857ec164b0b372cd?pvs=21)
Proscrito,"Sigilo (https://www.notion.so/Sigilo-14882858a7758044bb29f9a88bee0bf0?pvs=21), Finura (https://www.notion.so/Finura-14882858a77580a18b73f43a730673f0?pvs=21)",Acechador  (https://www.notion.so/Acechador-36382858a77580939674d0355635fe3d?pvs=21),"CON, DES, INT",Herramientas de ladrón (https://www.notion.so/Herramientas-de-ladr-n-cd27c6e393cc42ecbb4e4693bfb6938d?pvs=21)
Noble,"Sociedad (https://www.notion.so/Sociedad-14882858a775809bb3bff3d796fdbbd0?pvs=21), Diplomacia (https://www.notion.so/Diplomacia-14882858a77580e79626eeba3637187d?pvs=21)",Hábil (https://www.notion.so/H-bil-36182858a77580edaf2bda94378de440?pvs=21),"CAR, FUE, INT",Equipo de juego (https://www.notion.so/Equipo-de-juego-15682858a77580ea8c91e280c4f174aa?pvs=21)
Cortesano,"Diplomacia (https://www.notion.so/Diplomacia-14882858a77580e79626eeba3637187d?pvs=21), Interpretar (https://www.notion.so/Interpretar-14882858a775809eb284c5133cd7bffe?pvs=21)",Músico (https://www.notion.so/M-sico-36382858a7758019bb59d5ef0bc9f9e4?pvs=21),"CAR, DES, INT",Instrumento musical (https://www.notion.so/Instrumento-musical-15682858a775803a99d6f4bdcb2392f5?pvs=21)
"Espía ","Sigilo (https://www.notion.so/Sigilo-14882858a7758044bb29f9a88bee0bf0?pvs=21), Engaño (https://www.notion.so/Enga-o-14882858a77580a7813bd5d585d2ce7f?pvs=21)",Actor (https://www.notion.so/Actor-36382858a77580469186d57a2a0725c0?pvs=21),"CAR, DES, INT",Kit de disfraz (https://www.notion.so/Kit-de-disfraz-15682858a77580d89c38dfd90c9e4fbe?pvs=21)
Mecenas,"Diplomacia (https://www.notion.so/Diplomacia-14882858a77580e79626eeba3637187d?pvs=21), Investigar (https://www.notion.so/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21)",Hábil (https://www.notion.so/H-bil-36182858a77580edaf2bda94378de440?pvs=21),"CAR, CON, INT",Suministros de joyero (https://www.notion.so/Suministros-de-joyero-15582858a7758098857ec164b0b372cd?pvs=21)
Escriba,"Investigar (https://www.notion.so/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21), Percepción (https://www.notion.so/Percepci-n-14882858a77580dfa2f3f3109c37ce89?pvs=21)",Hábil (https://www.notion.so/H-bil-36182858a77580edaf2bda94378de440?pvs=21),"DES, INT, SAB",Suministros de calígrafo (https://www.notion.so/Suministros-de-cal-grafo-15582858a775808e8e2ec5f281c2c7c7?pvs=21)
Anticuario,"Arcana (https://www.notion.so/Arcana-14882858a775801e8405d641eaa6a5ce?pvs=21), Finura (https://www.notion.so/Finura-14882858a77580a18b73f43a730673f0?pvs=21)",Artesano (https://www.notion.so/Artesano-36082858a7758086b9afc5ce5edc89a2?pvs=21),"DES, INT, SAB",Kit de falsificación (https://www.notion.so/Kit-de-falsificaci-n-15682858a775804a863ddc75fedef644?pvs=21)
Médico,"Investigar (https://www.notion.so/Investigar-14882858a77580de97a4cac86bcfda95?pvs=21), Medicina (https://www.notion.so/Medicina-14882858a77580389451fde3f5196b64?pvs=21)",Sanador (https://www.notion.so/Sanador-36282858a7758002a7f1c28c9e48ece1?pvs=21),"CON, INT, SAB",Kit de herborista (https://www.notion.so/Kit-de-herborista-14e82858a77580eab934c94a0e289ee8?pvs=21)
Sabio,"Arcana (https://www.notion.so/Arcana-14882858a775801e8405d641eaa6a5ce?pvs=21), Sociedad (https://www.notion.so/Sociedad-14882858a775809bb3bff3d796fdbbd0?pvs=21)",Axioma Temporal (https://www.notion.so/Axioma-Temporal-36482858a7758086bad0e8b16b8d5ae8?pvs=21),"CON, INT, SAB",Suministros de calígrafo (https://www.notion.so/Suministros-de-cal-grafo-15582858a775808e8e2ec5f281c2c7c7?pvs=21)
