Nombre,"Nivel ",Esfera de conjuro,Ritual,Tipo duración,Rango,Componentes
"Explosión Sónica ",6º círculo,Energía,Yes,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21),"Personal, radio 5 casillas",V
Forma de Arena,6º círculo,"Catálisis, Cénit",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Personal,"M, S, V"
Forma de Electricidad,6º círculo,"Cinético, Energía",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Personal,"M, S, V"
"Forma de Fuego ",6º círculo,"Catálisis, Energía",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Personal,"M, S, V"
Forma de Humo,6º círculo,"Catálisis, Espejismo",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Personal,"M, S, V"
Forma de Luz,6º círculo,"Energía, Espejismo",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Personal,"M, S, V"
"Forma de Niebla ",6º círculo,"Espejismo, Realidad",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Personal,"S, V"
Forma de Oscuridad,6º círculo,"Espejismo, Ruina",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Personal,"M, S, V"
Forma de Peste Verde,6º círculo,"Catálisis, Ruina",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Personal,"M, S, V"
Forma de Polvo de Tumba,6º círculo,"Cénit, Ruina",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Personal,"M, S, V"
Forma de Vapor Alquímico,6º círculo,"Catálisis, Ruina",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Personal,"M, S, V"
Forma del Titán Menor,6º círculo,"Cinético, Simbiosis",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Personal,"M, S, V"
Furia del Oso,6º círculo,"Cinético, Simbiosis",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Personal,"M, S, V"
Furia del Wyrm Ancestral,6º círculo,"Energía, Simbiosis",No,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21)," Cono de 10 casillas","S, V"
"Glifo de Anclaje ",6º círculo,"Cinético, Destino",Yes,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),Toque (el glifo ocupa 1 casilla),"M, S, V"
Grito de las Alturas,6º círculo,"Energía, Mente",No,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21),Cono de 6 casillas,V
"Jaula de Alma ",6º círculo,"Realidad, Ruina",No,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),"12 casillas ","M, S, V"
Jauría Fantasma,6º círculo,"Origen, Ruina",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),6 casillas centrado en ti,"M, S, V"
Marea de Ruina,6º círculo,Ruina,No,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21),12 casillas,"S, V"
Marea de Sombras,6º círculo,"Espejismo, Ruina",Yes,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),"20 casillas, radio 8 casillas","M, S, V"
Marea de Vida,6º círculo,Restauración,No,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21),12 casillas,"S, V"
Máscara Perfecta,6º círculo,"Espejismo, Mente",No,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),Personal,"M, S, V"
"Muro de Espinas ",6º círculo,"Cénit, Simbiosis",Yes,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),"20 casillas, línea de hasta 20 casillas de largo y 2 casillas de alto","M, S, V"
Neblina de Guerra,6º círculo,"Catálisis, Espejismo",Yes,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),"20 casillas, radio 8 casillas","M, S, V"
Ojo Sin Cuerpo,6º círculo,"Destino, Espejismo",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),Ilimitado (mismo plano),"M, S, V"
Oleada de Tierra,6º círculo,Cénit,Yes,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21),"Personal, línea de 12 casillas de largo y 2 casillas de ancho","S, V"
Palabra de Verdad Absoluta,6º círculo,"Destino, Mente",No,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),4 casillas,"M, S, V"
"Prisión Mental ",6º círculo,"Mente, Realidad",No,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),12 casillas,"S, V"
Puerta de Tránsito,6º círculo,"Cinético, Realidad",No,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),"4 casillas, portal de 2×2 casillas","M, S, V"
Rayo Solar,6º círculo,"Energía, Espejismo",No,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21),"24 casillas, línea de 2 casillas de ancho","M, S, V"
"Resurgir ",6º círculo,"Destino, Restauración",No,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21),6 casillas,"M, S, V"
Santuario Ilusorio,6º círculo,"Destino, Espejismo",Yes,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),"Personal (emanación 20 casillas) ","M, S, V"
Sello de la Tierra,6º círculo,"Cénit, Simbiosis",No,Intervalo de tiempo (https://app.notion.com/p/Intervalo-de-tiempo-15b82858a775800db5ebfb0fb6129245?pvs=21),"16 casillas, área de 4x4 casillas","M, S, V"
"Teleportación en Masa ",6º círculo,Realidad,No,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21),"4 casillas, tú y hasta 8 criaturas voluntarias","M, V"
Torbellino de Viento,6º círculo,"Catálisis, Cinético",Yes,Concentración (https://app.notion.com/p/Concentraci-n-ae225ac34e8d45eaa1895be889d50718?pvs=21),"Personal, radio 6 casillas","S, V"
Tormenta de Hielo,6º círculo,"Catálisis, Energía",Yes,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21),"24 casillas, cilindro de radio 4 casillas y 8 casillas de alto","M, S, V"
Tormenta de Meteoros,6º círculo,"Cénit, Energía",No,Instantáneo (https://app.notion.com/p/Instant-neo-fd7b6c1ffff0428884c14c221d445309?pvs=21),"30 casillas, radio 4 casillas","M, S, V"
