Nombre,Armado,Categoría,Clase de armadura,Fuerza,Precio,"Propiedades ",Volumen
Placas Medias,,Armadura media,15 + mod Des (máx 2),,750 po,"Conductivo (Armaduras/Propiedades%20de%20armaduras/Conductivo%2025582858a7758091ba14cc732a65fd44.md), Resistente a cortes (Armaduras/Propiedades%20de%20armaduras/Resistente%20a%20cortes%2025582858a77580499b1af90d9e29bf4b.md), Resistente al impacto (Armaduras/Propiedades%20de%20armaduras/Resistente%20al%20impacto%2025582858a775805fbb71c6319d8d2f42.md), Conspicuo (Armaduras/Propiedades%20de%20armaduras/Conspicuo%2025582858a77580a8a4aafdd983082b6e.md)",4
Tablillas de Madera,,Armadura media,15 + mod Des (máx 2),,400 po,"Resistente a cortes (Armaduras/Propiedades%20de%20armaduras/Resistente%20a%20cortes%2025582858a77580499b1af90d9e29bf4b.md), Orgánico (Armaduras/Propiedades%20de%20armaduras/Org%C3%A1nico%2025582858a775800eb11dd71242927d9f.md), Inflamable (Armaduras/Propiedades%20de%20armaduras/Inflamable%2025582858a7758070a338cc919f636dc9.md), Conspicuo (Armaduras/Propiedades%20de%20armaduras/Conspicuo%2025582858a77580a8a4aafdd983082b6e.md)",4
Cota de Anillas,,Armadura pesada,14,,30 po,"Resistente a cortes (Armaduras/Propiedades%20de%20armaduras/Resistente%20a%20cortes%2025582858a77580499b1af90d9e29bf4b.md), Hidrófugo (Armaduras/Propiedades%20de%20armaduras/Hidr%C3%B3fugo%2025582858a77580febf69f493c0bf1860.md), Conspicuo (Armaduras/Propiedades%20de%20armaduras/Conspicuo%2025582858a77580a8a4aafdd983082b6e.md)",4
Tejido Explosivo,,Armadura pesada,14,13,240 po,"Resistente a cortes (Armaduras/Propiedades%20de%20armaduras/Resistente%20a%20cortes%2025582858a77580499b1af90d9e29bf4b.md), Ignífugo (Armaduras/Propiedades%20de%20armaduras/Ign%C3%ADfugo%2025582858a775806ea862c7cc6ddf098b.md), Aislante (Armaduras/Propiedades%20de%20armaduras/Aislante%2025582858a7758078aa29d4332775e32c.md), Resistente al impacto (Armaduras/Propiedades%20de%20armaduras/Resistente%20al%20impacto%2025582858a775805fbb71c6319d8d2f42.md)",4
Cota de Mallas,,Armadura pesada,16,13,75 po,"Resistente a cortes (Armaduras/Propiedades%20de%20armaduras/Resistente%20a%20cortes%2025582858a77580499b1af90d9e29bf4b.md), Conductivo (Armaduras/Propiedades%20de%20armaduras/Conductivo%2025582858a7758091ba14cc732a65fd44.md), Conspicuo (Armaduras/Propiedades%20de%20armaduras/Conspicuo%2025582858a77580a8a4aafdd983082b6e.md)",6
Armadura laminada,,Armadura pesada,17,14,200 po,"Resistente a cortes (Armaduras/Propiedades%20de%20armaduras/Resistente%20a%20cortes%2025582858a77580499b1af90d9e29bf4b.md), Conspicuo (Armaduras/Propiedades%20de%20armaduras/Conspicuo%2025582858a77580a8a4aafdd983082b6e.md), Ignífugo (Armaduras/Propiedades%20de%20armaduras/Ign%C3%ADfugo%2025582858a775806ea862c7cc6ddf098b.md), Conductivo (Armaduras/Propiedades%20de%20armaduras/Conductivo%2025582858a7758091ba14cc732a65fd44.md)",6
Placas de Quitina,,Armadura pesada,18,15,500 po,"Resistente a cortes (Armaduras/Propiedades%20de%20armaduras/Resistente%20a%20cortes%2025582858a77580499b1af90d9e29bf4b.md), Resistente al impacto (Armaduras/Propiedades%20de%20armaduras/Resistente%20al%20impacto%2025582858a775805fbb71c6319d8d2f42.md), Orgánico (Armaduras/Propiedades%20de%20armaduras/Org%C3%A1nico%2025582858a775800eb11dd71242927d9f.md), Conspicuo (Armaduras/Propiedades%20de%20armaduras/Conspicuo%2025582858a77580a8a4aafdd983082b6e.md), Especial (Armaduras/Propiedades%20de%20armaduras/Especial%2025582858a77580b3b94ce9a498ac900d.md)",6
Armadura de placas,,Armadura pesada,18,15,1500 po,"Resistente al impacto (Armaduras/Propiedades%20de%20armaduras/Resistente%20al%20impacto%2025582858a775805fbb71c6319d8d2f42.md), Resistente a cortes (Armaduras/Propiedades%20de%20armaduras/Resistente%20a%20cortes%2025582858a77580499b1af90d9e29bf4b.md), Ignífugo (Armaduras/Propiedades%20de%20armaduras/Ign%C3%ADfugo%2025582858a775806ea862c7cc6ddf098b.md), Hidrófugo (Armaduras/Propiedades%20de%20armaduras/Hidr%C3%B3fugo%2025582858a77580febf69f493c0bf1860.md), Conspicuo (Armaduras/Propiedades%20de%20armaduras/Conspicuo%2025582858a77580a8a4aafdd983082b6e.md), Conductivo (Armaduras/Propiedades%20de%20armaduras/Conductivo%2025582858a7758091ba14cc732a65fd44.md), Especial (Armaduras/Propiedades%20de%20armaduras/Especial%2025582858a77580b3b94ce9a498ac900d.md)",6
Golpeador,Bastón (https://www.notion.so/Bast-n-25082858a77580cd916dcf51e28f911f?pvs=21),Escudos,+2,,10 po,Armado (Armaduras/Propiedades%20de%20armaduras/Armado%2025582858a7758096b20eec224f4f95b1.md),3
Broquel,,Escudos,+1,,10 po,"Ligero (Armaduras/Propiedades%20de%20armaduras/Ligero%2025582858a775803bbb60f50cc6d85791.md), Seguro (Armaduras/Propiedades%20de%20armaduras/Seguro%2025582858a77580859331c94bd019d621.md)",2
Plegable,,Escudos,+2,,120 po,"Seguro (Armaduras/Propiedades%20de%20armaduras/Seguro%2025582858a77580859331c94bd019d621.md), Oculto (Armaduras/Propiedades%20de%20armaduras/Oculto%2025582858a775803a902ac8ded509c7a4.md), Ligero (Armaduras/Propiedades%20de%20armaduras/Ligero%2025582858a775803bbb60f50cc6d85791.md), Especial (Armaduras/Propiedades%20de%20armaduras/Especial%2025582858a77580b3b94ce9a498ac900d.md)",2
Con púas,Daga de puño (https://www.notion.so/Daga-de-pu-o-25082858a77580279e77c49cc17098b7?pvs=21),Escudos,+2,,20 po,Armado (Armaduras/Propiedades%20de%20armaduras/Armado%2025582858a7758096b20eec224f4f95b1.md),2
Arrojadizo,Hacha de mano (https://www.notion.so/Hacha-de-mano-25082858a7758063a164dca2f964ba08?pvs=21),Escudos,+2,,35 po,"Ligero (Armaduras/Propiedades%20de%20armaduras/Ligero%2025582858a775803bbb60f50cc6d85791.md), Armado (Armaduras/Propiedades%20de%20armaduras/Armado%2025582858a7758096b20eec224f4f95b1.md), Retornante (Armaduras/Propiedades%20de%20armaduras/Retornante%2025582858a77580faac3bc53c594d303d.md)",1
Torre,,Escudos,+3,15,60 po,"Cobertura (Armaduras/Propiedades%20de%20armaduras/Cobertura%2025582858a77580cb973dc27a772d809c.md), Conspicuo (Armaduras/Propiedades%20de%20armaduras/Conspicuo%2025582858a77580a8a4aafdd983082b6e.md), Pesado (Armaduras/Propiedades%20de%20armaduras/Pesado%2025582858a77580fe9475fd68307ad567.md)",4
