Nombre,Conjuro mayor,Conjuro medio,Conjuro menor
Esencia del Herrero Infernal,Armadura de Gólem (https://app.notion.com/p/Armadura-de-G-lem-36482858a775805ab3d5d1a4761199df?pvs=21),Puños de Carbón  (https://app.notion.com/p/Pu-os-de-Carb-n-35182858a77580819a1ac9d93b1f7a29?pvs=21),Brazos de Hierro (https://app.notion.com/p/Brazos-de-Hierro-35182858a7758011b7f2cd99aed73446?pvs=21)
Esencia del Fragmento Etéreo,Cuerpo que Vaga (https://app.notion.com/p/Cuerpo-que-Vaga-35f82858a775807aa2daf3beeacf706e?pvs=21),Cuerpo Atenuado (https://app.notion.com/p/Cuerpo-Atenuado-34982858a775809a8acafb91eea09ea4?pvs=21),Agarre Fantasmal (https://app.notion.com/p/Agarre-Fantasmal-33a82858a7758049b4dee0f7aaf10d08?pvs=21)
Esencia del Devorador de Magia,Anulación Mágica (https://app.notion.com/p/Anulaci-n-M-gica-36182858a77580179a3acebe55fedeab?pvs=21),Devorar Conjuro (https://app.notion.com/p/Devorar-Conjuro-34b82858a77580d4ba83fb1294cd0971?pvs=21),Corte de Conjuro (https://app.notion.com/p/Corte-de-Conjuro-34b82858a775801f837bf72eb24db580?pvs=21)
Esencia del Carnicero,Regeneración Imparable (https://app.notion.com/p/Regeneraci-n-Imparable-39882858a77580319e2bf423d99084f2?pvs=21),Frenesí Regenerativo (https://app.notion.com/p/Frenes-Regenerativo-39882858a77580cda8f3c52a6fd51ac6?pvs=21),Zarpazo Desgarrador (https://app.notion.com/p/Zarpazo-Desgarrador-39882858a775803487c9e7b4aa8e1853?pvs=21)
Esencia del Centinela de Piedra,Piel de Piedra (https://app.notion.com/p/Piel-de-Piedra-35382858a77580e2aebae0e44ea7a557?pvs=21),Fundirse en piedra (https://app.notion.com/p/Fundirse-en-piedra-37982858a77580688d14f3566b4cb04e?pvs=21),Dermis Pétrea (https://app.notion.com/p/Dermis-P-trea-33882858a775807089a1e16014bae9ac?pvs=21)
Esencia del Acechador Subterráneo,Fisura de tierra (https://app.notion.com/p/Fisura-de-tierra-37982858a775806ca835e7f5aaeba6ea?pvs=21),Emboscada desde Abajo (https://app.notion.com/p/Emboscada-desde-Abajo-39882858a775804da85ed9f16ae61a5e?pvs=21)," Chorro Ácido (https://app.notion.com/p/Chorro-cido-33882858a775802986ebd4c7db027054?pvs=21)"
Esencia del Parásito Psíquico,Robar Conocimiento (https://app.notion.com/p/Robar-Conocimiento-35a82858a7758097844acc2500a16fe8?pvs=21),Detectar Pensamientos (https://app.notion.com/p/Detectar-Pensamientos-33e82858a775805ab47dd78876cad734?pvs=21),Acometida Psíquica (https://app.notion.com/p/Acometida-Ps-quica-33882858a775808d8ccfd1757ddf1c0b?pvs=21)
Esencia del Cazador de Dragones,Furia del Wyrm Ancestral (https://app.notion.com/p/Furia-del-Wyrm-Ancestral-39982858a77580f0ad39f19aef7f0e99?pvs=21),Calor Implacable (https://app.notion.com/p/Calor-Implacable-37a82858a775808e81c0e94950391068?pvs=21),Lanza Relámpago (https://app.notion.com/p/Lanza-Rel-mpago-34b82858a775808ea0c6c97b3ccc9a47?pvs=21)
Esencia del Desgarrador,Gula Total (https://app.notion.com/p/Gula-Total-35f82858a775802d9940c60fac4eba7d?pvs=21),Proliferación de Miembros (https://app.notion.com/p/Proliferaci-n-de-Miembros-36082858a7758042b54beab556644c7f?pvs=21),Tentáculos sobrenaturales (https://app.notion.com/p/Tent-culos-sobrenaturales-37182858a775800789c2ecc459b76ac3?pvs=21)
Esencia del Veloz del Viento,Dominar los Vientos (https://app.notion.com/p/Dominar-los-Vientos-35782858a77580389669f2c21fdd99f3?pvs=21),Velocidad de Mercurio (https://app.notion.com/p/Velocidad-de-Mercurio-35382858a775801ea952e459addc2e59?pvs=21),Talones del Viento del Este (https://app.notion.com/p/Talones-del-Viento-del-Este-37a82858a775807c80ecc47e2fe99ede?pvs=21)
Esencia del Vigilante Eterno,Ojo Sin Cuerpo (https://app.notion.com/p/Ojo-Sin-Cuerpo-35f82858a775807994a3d38c7cf46f82?pvs=21),Ojo de Vigilancia (https://app.notion.com/p/Ojo-de-Vigilancia-33e82858a7758075827cda3147dbd998?pvs=21),Ojo Arcano (https://app.notion.com/p/Ojo-Arcano-33d82858a77580be8d09f6e4039eb2ad?pvs=21)
Esencia del Experimento Vivo,Forma de Vapor Alquímico (https://app.notion.com/p/Forma-de-Vapor-Alqu-mico-35b82858a77580e58290e5ff4867fb7d?pvs=21),Cuerpo Divisible (https://app.notion.com/p/Cuerpo-Divisible-34982858a77580d0b883e0a82cb24273?pvs=21),Generación de Burbujas (https://app.notion.com/p/Generaci-n-de-Burbujas-34982858a77580b29521e39ead7894a9?pvs=21)
Esencia del Coloso Eléctrico,Forma de Tormenta (https://app.notion.com/p/Forma-de-Tormenta-35382858a77580349df9c68943ef2140?pvs=21),Arco Imparable (https://app.notion.com/p/Arco-Imparable-35f82858a77580c8b8b6cbb6a24478b4?pvs=21),Toque Eléctrico (https://app.notion.com/p/Toque-El-ctrico-33882858a77580aab567f75ba4a9f0c2?pvs=21)
Esencia del Rey de las Espinas,Muro de Espinas  (https://app.notion.com/p/Muro-de-Espinas-35c82858a7758073b97be784d9370fe8?pvs=21),Jardín Carnívoro (https://app.notion.com/p/Jard-n-Carn-voro-34b82858a7758039a6f1f2e617bdca67?pvs=21),Enredar (https://app.notion.com/p/Enredar-33a82858a7758044b850dc717ec2a783?pvs=21)
Esencia del Cambiador de Época,Reencarnación (https://app.notion.com/p/Reencarnaci-n-35a82858a77580698ec9d557c8d47388?pvs=21),Marea de Vida (https://app.notion.com/p/Marea-de-Vida-35b82858a775807c88d4d0a12219d9d4?pvs=21),Sanación Menor (https://app.notion.com/p/Sanaci-n-Menor-33d82858a775803d929cf818fda8fcc5?pvs=21)
Esencia del Cosmos Vivo,Deseo (https://app.notion.com/p/Deseo-36582858a77580d7b245fec940c71b40?pvs=21),Presencia (https://app.notion.com/p/Presencia-38782858a77580658564f732e62694d9?pvs=21),Augurio (https://app.notion.com/p/Augurio-33882858a77580498463e76a60cffe98?pvs=21)
