Nombre,"Tipo ",Bonificador,Requisito,Requisito nivel
Experto en Armas de Gladiador,General,+1 a FUE o DES (tu elección)," FUE o DES 13",4
Experto en Armas de Escudo y la Lanza,General,+1 a FUE,FUE 13,4
Experto en Armas de Brazo Largo,General,+1 a FUE o DES (tu elección),FUE o DES 13,4
Experto en Armas de Asta,General,+1 a FUE o DES (tu elección),FUE o DES 13,4
Experto en Armas de Aplastador,General,+1 a FUE,FUE 13,4
Experto en Armas de Agarre,General,+1 a FUE o DES (tu elección),FUE o DES 13,4
Experto en Armas de Acero Versátil,General,+1 a FUE o DES (tu elección),FUE o DES 13,4
Bendición de la Visión Verdadera,Épica,+2 SAB,SAB 19 o INT 19,19
Bendición del Espíritu de la Noche,Épica," +2 DES",DES 19 o CAR 19,19
Bendición del Recuerdo de Hechizo,Épica," +2 a la característica de lanzamiento de tu clase",INT 19 o SAB 19 o CAR 19,19
Bendición de la Habilidad,Épica,"+2 INT, +2 SAB",INT 19 o SAB 19,19
Bendición de la Recuperación,Épica,+2 CON,CON 19,19
Bendición de la Ofensiva Irresistible,Épica,+2 FUE o +2 DES,FUE 19 o DES 19,19
Bendición de la Fortaleza,Épica,"+2 CON, +2 FUE",CON 19 o FUE 19,19
Bendición del Destino,Épica,+2 SAB,SAB 19 o CAR 19,19
Bendición del Viaje Dimensional,Épica," +2 INT",INT 19 o SAB 19,19
Bendición de la Destreza en Combate,Épica,+2 FUE o +2 DES,FUE 19 o DES 19,19
Bendición de la Fuerza de Voluntad,Épica,"+2 SAB, +2 CAR",SAB 19 o CAR 19,19
Bendición de la Resistencia Mágica,Épica,+2 SAB,SAB 19 o CON 19,19
Bendición de la Inmortalidad,Épica,+2 CON,CON 19,19
Bendición del Vuelo,Épica,+2 DES,DES 19,19
