Nombre,Bonificador,Requisito,Requisito nivel,"Tipo "
Experto en Magia de Destino,+1 a SAB o INT,"SAB o INT 15, capacidad de lanzar al menos un conjuro de Destino",4,General
Experto en Magia de Origen,+1 a CON o SAB," CON o SAB 13, capacidad de lanzar al menos un conjuro de Origen",4,General
Experto en Magia de Realidad,"+1 a INT o SAB ","INT 17, capacidad de lanzar conjuros de nivel 5 o superior de la esfera de Realidad",4,General
Asesino de Magos,+1 a DES o INT,DES o INT 13,4,General
Mago de Guerra,+1 a INT o SAB," INT o SAB 13, capacidad de lanzar al menos un conjuro",4,General
Despertar Espiritual," +1 a SAB o CAR",SAB 13,4,General
Líder Intimidante,"+1 a FUE o CAR ",FUE o CAR 13,4,General
Físico Robusto,+1 a CON o FUE,CON o FUE 13,4,General
Experto en Venenos,+1 a INT o DES,INT o DES 13,4,General
Explorador de Mazmorras,+1 a DES o SAB,DES o SAB 13,4,General
Líder Inspirador,"+1 a CAR o SAB ",CAR 13,4,General
Información Útil,"+1 a INT o SAB ",INT 13,4,General
Experto en Falsificar,+1 a INT o DES,INT o DES 13,4,General
Atleta,+1 a FUE o DES,FUE o DES 13,4,General
Mente Aguda,"+1 a INT o SAB ",INT 13,4,General
Observador,"+1 a SAB o INT ",SAB o INT 13,4,General
Experto en Habilidades,+1 a cualquier habilidad,INT o SAB 13,4,General
Rápido,+1 a DES,DES 13,4,General
Palacio Mental,+1 a INT o SAB,INT 15,4,General
Jugador,+1 a CAR o INT," CAR o INT 13",4,General
Ágil,+1 a DES,DES 15,4,General
Determinado,+1 a CON o SAB,CON o SAB 13,4,General
Maduración tardía,+2 a dos características de tu elección,,4,General
Bendición del Vuelo,+2 DES,DES 19,19,Épica
Bendición de la Inmortalidad,+2 CON,CON 19,19,Épica
Bendición de la Resistencia Mágica,+2 SAB,SAB 19 o CON 19,19,Épica
Bendición de la Fuerza de Voluntad,"+2 SAB, +2 CAR",SAB 19 o CAR 19,19,Épica
Bendición de la Destreza en Combate,+2 FUE o +2 DES,FUE 19 o DES 19,19,Épica
Bendición del Viaje Dimensional," +2 INT",INT 19 o SAB 19,19,Épica
Bendición del Destino,+2 SAB,SAB 19 o CAR 19,19,Épica
Bendición de la Fortaleza,"+2 CON, +2 FUE",CON 19 o FUE 19,19,Épica
Bendición de la Ofensiva Irresistible,+2 FUE o +2 DES,FUE 19 o DES 19,19,Épica
Bendición de la Recuperación,+2 CON,CON 19,19,Épica
Bendición de la Habilidad,"+2 INT, +2 SAB",INT 19 o SAB 19,19,Épica
Bendición del Recuerdo de Hechizo," +2 a la característica de lanzamiento de tu clase",INT 19 o SAB 19 o CAR 19,19,Épica
Bendición del Espíritu de la Noche," +2 DES",DES 19 o CAR 19,19,Épica
Bendición de la Visión Verdadera,+2 SAB,SAB 19 o INT 19,19,Épica
